Method,Accuracy,Precision,Sensitivity,specificity_ls,F1.Score,AUC
29Features,0.857093930220739,0.315118538670812,0.495720224993886,0.892987271667314,0.385306277622012,0.829460496798687
13Features,0.835008948891884,0.287654010560724,0.559550012227929,0.862368830159347,0.379971767831936,0.826021072581097
